ds_normal_conta_financeira	sk_normal_conta_financeira
DEDUCOES DE RECEITA	5
IMPOSTOS E CONTRIBUICOES	6
DESPESAS COM PESSOAL	7
OUTRAS DESPESAS COM PESSOAL	8
SERVICOS MEDICOS E ASSISTENCIAIS	9
CONSUMO DE MATERIAL HOSPITALAR E MEDICAMENTOS	10
CONSUMO DE MATERIAIS GERAIS	11
SERVIÇOS TÉCNICOS E OPERACIONAIS	12
SERVIÇOS DE APOIO E LOGÍSTICA	13
MANUTENCAO E ASSISTENCIA TECNICA	14
DESPESAS TECNOLOGIA DA INFORMACAO	15
DESPESAS DE SERVICOS NÃO OPERACIONAIS	16
OUTRAS DESPESAS ADMINISTRATIVAS	17
UTILIDADES	18
TAXAS ADMINISTRATIVAS E DE SERVIÇOS DIVERSOS	19
DESPESAS LEGAIS E JUDICIAIS	20
IMPOSTOS E TAXAS	21
SEGUROS	22
DESPESAS FINANCEIRAS/BANCARIAS	23
