cd_conta_financeira	ds_conta_financeira	sk_normal_conta_financeira	ds_normal_conta_financeira
13	DEVOLUCOES A PACIENTES (DEDUCOES DE RECEITA)	5	DEDUCOES DE RECEITA
14	COFINS (IMPOSTOS E CONTRIBUICOES)	6	IMPOSTOS E CONTRIBUICOES
16	ISS (IMPOSTOS E CONTRIBUICOES)	6	IMPOSTOS E CONTRIBUICOES
15	PIS (IMPOSTOS E CONTRIBUICOES)	6	IMPOSTOS E CONTRIBUICOES
17	SALARIOS E ORDENADOS (DESPESAS COM PESSOAL)	7	DESPESAS COM PESSOAL
27	VALE TRANSPORTE (DESPESAS COM PESSOAL)	7	DESPESAS COM PESSOAL
20	FERIAS (DESPESAS COM PESSOAL)	7	DESPESAS COM PESSOAL
24	FGTS (DESPESAS COM PESSOAL)	7	DESPESAS COM PESSOAL
22	RESCISOES TRABALHISTAS (DESPESAS COM PESSOAL)	7	DESPESAS COM PESSOAL
26	INSS (DESPESAS COM PESSOAL)	7	DESPESAS COM PESSOAL
28	OUTRAS DESPESAS COM PESSOAL (OUTRAS DESPESAS COM PESSOAL)	8	OUTRAS DESPESAS COM PESSOAL
29	UNIFORMES (OUTRAS DESPESAS COM PESSOAL)	8	OUTRAS DESPESAS COM PESSOAL
35	PLANTAO MEDICO PRESENCIAL (SERVICOS MEDICOS E ASSISTENCIAIS)	9	SERVICOS MEDICOS E ASSISTENCIAIS
38	OUTROS SERVICOS ASSISTENCIAIS (SERVICOS MEDICOS E ASSISTENCIAIS)	9	SERVICOS MEDICOS E ASSISTENCIAIS
37	OUTROS REPASSES MEDICOS (SERVICOS MEDICOS E ASSISTENCIAIS)	9	SERVICOS MEDICOS E ASSISTENCIAIS
40	MEDICAMENTOS (CONSUMO DE MATERIAL HOSPITALAR E MEDICAMENTOS)	10	CONSUMO DE MATERIAL HOSPITALAR E MEDICAMENTOS
42	MATERIAL HOSPITALAR (CONSUMO DE MATERIAL HOSPITALAR E MEDICAMENTOS)	10	CONSUMO DE MATERIAL HOSPITALAR E MEDICAMENTOS
41	GASES MEDICINAIS (CONSUMO DE MATERIAL HOSPITALAR E MEDICAMENTOS)	10	CONSUMO DE MATERIAL HOSPITALAR E MEDICAMENTOS
