cd_conta_financeira	ds_conta_financeira	sk_normal_conta_financeira
13	DEVOLUCOES A PACIENTES (DEDUCOES DE RECEITA)	5
14	COFINS (IMPOSTOS E CONTRIBUICOES)	6
16	ISS (IMPOSTOS E CONTRIBUICOES)	6
15	PIS (IMPOSTOS E CONTRIBUICOES)	6
17	SALARIOS E ORDENADOS (DESPESAS COM PESSOAL)	7
27	VALE TRANSPORTE (DESPESAS COM PESSOAL)	7
20	FERIAS (DESPESAS COM PESSOAL)	7
24	FGTS (DESPESAS COM PESSOAL)	7
22	RESCISOES TRABALHISTAS (DESPESAS COM PESSOAL)	7
26	INSS (DESPESAS COM PESSOAL)	7
28	OUTRAS DESPESAS COM PESSOAL (OUTRAS DESPESAS COM PESSOAL)	8
29	UNIFORMES (OUTRAS DESPESAS COM PESSOAL)	8
35	PLANTAO MEDICO PRESENCIAL (SERVICOS MEDICOS E ASSISTENCIAIS)	9
38	OUTROS SERVICOS ASSISTENCIAIS (SERVICOS MEDICOS E ASSISTENCIAIS)	9
37	OUTROS REPASSES MEDICOS (SERVICOS MEDICOS E ASSISTENCIAIS)	9
40	MEDICAMENTOS (CONSUMO DE MATERIAL HOSPITALAR E MEDICAMENTOS)	10
42	MATERIAL HOSPITALAR (CONSUMO DE MATERIAL HOSPITALAR E MEDICAMENTOS)	10
41	GASES MEDICINAIS (CONSUMO DE MATERIAL HOSPITALAR E MEDICAMENTOS)	10
39	OPME (CONSUMO DE MATERIAL HOSPITALAR E MEDICAMENTOS)	10
50	MATERIAL EXPEDIENTE (CONSUMO DE MATERIAIS GERAIS)	11
51	GENEROS ALIMENTICIOS (CONSUMO DE MATERIAIS GERAIS)	11
54	MATERIAL HIGIENIZACAO (CONSUMO DE MATERIAIS GERAIS)	11
43	MATERIAL DE SEGURANCA (CONSUMO DE MATERIAIS GERAIS)	11
47	MATERIAL DESCARTAVEL (CONSUMO DE MATERIAIS GERAIS)	11
44	GAS GLP (CONSUMO DE MATERIAIS GERAIS)	11
53	COMBUSTIVEIS E LUBRIFICANTES (CONSUMO DE MATERIAIS GERAIS)	11
49	ENXOVAL/ROUPARIA (CONSUMO DE MATERIAIS GERAIS)	11
46	UTENSILIOS (CONSUMO DE MATERIAIS GERAIS)	11
48	MATERIAL MANUTENCAO (CONSUMO DE MATERIAIS GERAIS)	11
52	MATERIAL INFORMATICA (CONSUMO DE MATERIAIS GERAIS)	11
56	SERV. LOCACAO DE MAQ/EQUIP ASSISTENCIAIS (SERVIÇOS TÉCNICOS E OPERACIONAIS)	12
61	SERV. LAVANDERIA (SERVIÇOS TÉCNICOS E OPERACIONAIS)	12
68	SERV. LOCACAO DE MAQ/EQUIP NÃO ASSISTENCIAIS (SERVIÇOS DE APOIO E LOGÍSTICA)	13
62	SERV. LIMPEZA E HIGIENIZACAO (SERVIÇOS DE APOIO E LOGÍSTICA)	13
67	SERV. TRATAMENTO DE RESIDUOS (SERVIÇOS DE APOIO E LOGÍSTICA)	13
65	SERV. DEDETIZACAO (SERVIÇOS DE APOIO E LOGÍSTICA)	13
71	PECAS E MATERIAIS DE MANUTENCAO - PREDIAL (MANUTENCAO E ASSISTENCIA TECNICA)	14
75	PECAS E MATERIAIS DE MANUTENCAO - EQUIPAMENTOS (MANUTENCAO E ASSISTENCIA TECNICA)	14
72	SERV. INST/MANUT. EQUIP. MEDICO-HOSPITALAR (MANUTENCAO E ASSISTENCIA TECNICA)	14
69	SERV.OBRAS E REFORMAS (MANUTENCAO E ASSISTENCIA TECNICA)	14
73	MANUTENCAO DE MAQUINAS E EQUIPAMENTOS (MANUTENCAO E ASSISTENCIA TECNICA)	14
74	SERV. INST/MANUT. EQUIP. NÃO MEDICOS (MANUTENCAO E ASSISTENCIA TECNICA)	14
70	SERV. MANUTENCAO PREDIAL (MANUTENCAO E ASSISTENCIA TECNICA)	14
76	SOFTWARE/LICENCAS (DESPESAS TECNOLOGIA DA INFORMACAO)	15
78	SERV. INFORMATICA/SUPORTE TECNICO (DESPESAS TECNOLOGIA DA INFORMACAO)	15
77	INTERNET (DESPESAS TECNOLOGIA DA INFORMACAO)	15
79	SERV. LOCACAO DE EQUIPAMENTOS DE INFORMATICA (DESPESAS TECNOLOGIA DA INFORMACAO)	15
81	FRETES E CARRETOS (DESPESAS DE SERVICOS NÃO OPERACIONAIS)	16
82	SERV. DIVERSOS PJ/OUTROS (DESPESAS DE SERVICOS NÃO OPERACIONAIS)	16
85	SERV. ADVOCATICIOS (DESPESAS DE SERVICOS NÃO OPERACIONAIS)	16
88	SERV. CONTABEIS E AUDITORIA (DESPESAS DE SERVICOS NÃO OPERACIONAIS)	16
84	SERV. DE ENGENHARIA/ARQUITETURA (DESPESAS DE SERVICOS NÃO OPERACIONAIS)	16
87	SERV. ASSESSORIA TECNICA/GESTAO/ADMINISTRACAO (DESPESAS DE SERVICOS NÃO OPERACIONAIS)	16
89	SERV. CONSULTORIA (DESPESAS DE SERVICOS NÃO OPERACIONAIS)	16
86	SERV. ASSESSORIA, COMUNICACAO E MARKETING (DESPESAS DE SERVICOS NÃO OPERACIONAIS)	16
83	SERV. ARMAZENAGEM/ARQUIVO (DESPESAS DE SERVICOS NÃO OPERACIONAIS)	16
92	DESPESAS COM VIAGENS E LOCOMOCOES (OUTRAS DESPESAS ADMINISTRATIVAS)	17
94	COPIAS E REPRODUCOES (OUTRAS DESPESAS ADMINISTRATIVAS)	17
91	BRINDES (OUTRAS DESPESAS ADMINISTRATIVAS)	17
95	ASSINATURA DE JORNAIS E REVISTAS (OUTRAS DESPESAS ADMINISTRATIVAS)	17
100	ENERGIA ELETRICA (UTILIDADES)	18
98	SERV. TELEFONIA (UTILIDADES)	18
101	AGUA (UTILIDADES)	18
103	DESPESAS C/ CARTORIO (TAXAS ADMINISTRATIVAS E DE SERVIÇOS DIVERSOS)	19
104	SERV. POSTAIS (TAXAS ADMINISTRATIVAS E DE SERVIÇOS DIVERSOS)	19
106	DESPESAS LEGAIS E JUDICIAIS (DESPESAS LEGAIS E JUDICIAIS)	20
109	ASSOCIACOES DE CLASSE (IMPOSTOS E TAXAS)	21
