cd_fornecedor	ds_fornecedor
1	FORNECEDOR 444
2	FORNECEDOR 183
3	FORNECEDOR 416
4	FORNECEDOR 27
5	FORNECEDOR 917
6	FORNECEDOR 568
7	FORNECEDOR 556
8	FORNECEDOR 538
9	FORNECEDOR 191
10	FORNECEDOR 57
11	FORNECEDOR 228
12	FORNECEDOR 181
13	FORNECEDOR 691
14	FORNECEDOR 239
15	FORNECEDOR 86
16	FORNECEDOR 285
17	FORNECEDOR 296
18	FORNECEDOR 406
19	FORNECEDOR 576
20	FORNECEDOR 151
21	FORNECEDOR 395
22	FORNECEDOR 658
23	FORNECEDOR 604
24	FORNECEDOR 482
25	FORNECEDOR 85
26	FORNECEDOR 536
27	FORNECEDOR 765
28	FORNECEDOR 937
29	FORNECEDOR 968
30	FORNECEDOR 443
31	FORNECEDOR 376
32	FORNECEDOR 62
33	FORNECEDOR 129
34	FORNECEDOR 593
35	FORNECEDOR 739
36	FORNECEDOR 161
37	FORNECEDOR 563
38	FORNECEDOR 489
39	FORNECEDOR 713
40	FORNECEDOR 307
41	FORNECEDOR 820
42	FORNECEDOR 364
43	FORNECEDOR 882
44	FORNECEDOR 847
45	FORNECEDOR 541
46	FORNECEDOR 808
47	FORNECEDOR 601
48	FORNECEDOR 229
49	FORNECEDOR 558
50	FORNECEDOR 248
51	FORNECEDOR 641
52	FORNECEDOR 170
53	FORNECEDOR 988
54	FORNECEDOR 497
55	FORNECEDOR 909
56	FORNECEDOR 55
57	FORNECEDOR 822
58	FORNECEDOR 732
59	FORNECEDOR 267
60	FORNECEDOR 724
61	FORNECEDOR 292
62	FORNECEDOR 158
63	FORNECEDOR 607
64	FORNECEDOR 400
65	FORNECEDOR 631
66	FORNECEDOR 128
67	FORNECEDOR 2
68	FORNECEDOR 440
69	FORNECEDOR 43
70	FORNECEDOR 922
71	FORNECEDOR 559
72	FORNECEDOR 635
73	FORNECEDOR 467
74	FORNECEDOR 784
75	FORNECEDOR 577
76	FORNECEDOR 137
77	FORNECEDOR 81
78	FORNECEDOR 649
79	FORNECEDOR 171
80	FORNECEDOR 586
81	FORNECEDOR 744
82	FORNECEDOR 697
83	FORNECEDOR 51
84	FORNECEDOR 590
85	FORNECEDOR 599
86	FORNECEDOR 781
87	FORNECEDOR 720
88	FORNECEDOR 389
89	FORNECEDOR 963
90	FORNECEDOR 509
91	FORNECEDOR 434
92	FORNECEDOR 326
93	FORNECEDOR 479
94	FORNECEDOR 143
95	FORNECEDOR 380
96	FORNECEDOR 426
97	FORNECEDOR 370
98	FORNECEDOR 465
99	FORNECEDOR 439
100	FORNECEDOR 639
101	FORNECEDOR 850
102	FORNECEDOR 12
103	FORNECEDOR 823
104	FORNECEDOR 678
105	FORNECEDOR 105
106	FORNECEDOR 588
107	FORNECEDOR 686
108	FORNECEDOR 867
109	FORNECEDOR 652
110	FORNECEDOR 385
111	FORNECEDOR 737
112	FORNECEDOR 943
