sk_unidade	pk_lancamento	cd_lancamento	sk_conta_financeira	dt_vencimento	dt_mes_referencia	vl_total_nf	dt_venc_parcela	sk_fornecedor	dt_realizacao	vl_realizacao	ds_observacao	dt_emissao_nf_doc	dt_inclusao	cd_nf_doc	sk_conta_bancaria	cd_parcela	vl_juros	vl_descontos	tp_lancamento	sk_centro_custos	tp_forma_pgto	cd_documento	tp_situacao
1	6	6	47	2023-04-28	2023-03-01	15.0	2023-04-28	1	2023-04-01	15.0	Materiais Descartaveis Cozinha			18185	1	0	0.0	0.0		8			PAGO
1	7	7	71	2023-03-10	2023-03-01	36.53	2023-03-10	2	2023-03-01	36.53	Material de manutencao predial			136874	1	0	0.0	0.0		7			PAGO
1	8	8	71	2023-03-27	2023-03-01	328.58	2023-03-27	2	2023-03-01	328.58	Material de manutencao predial			137186	1	0	0.0	0.0		3			PAGO
1	9	9	71	2023-04-24	2023-03-01	328.58	2023-04-24	2	2023-04-01	328.58	Material de manutencao predial			137186	1	0	0.0	0.0		5			PAGO
1	10	10	71	2023-05-22	2023-03-01	328.58	2023-05-22	2	2023-05-01	328.58	Fechadura			137186	1	0	0.0	0.0		3			PAGO
1	11	11	71	2023-06-19	2023-03-01	328.56	2023-06-19	2	2023-06-01	328.56	Material de manutencao predial			137186	1	0	0.0	0.0		3			PAGO
1	12	12	71	2023-05-22	2023-03-01	120.9	2023-05-22	2	2023-05-01	120.9	Fechadura			138556	1	0	0.0	0.0		1			PAGO
1	13	13	54	2023-04-21	2023-03-01	280.04	2023-04-21	3	2023-04-01	280.04	Material de limpeza e higiene			2680	1	0	0.0	0.0		3			PAGO
1	14	14	69	2023-01-04	2023-03-01	3120.0	2023-01-04	4	2023-01-01	3120.0	REFORMA			20231	1	0	0.0	0.0		6			PAGO
1	14	14	69	2023-01-04	2023-03-01	3120.0	2023-01-04	4	2023-01-01	3120.0	REFORMA			20231	1	0	0.0	0.0		6			PAGO
1	14	14	69	2023-01-04	2023-03-01	3120.0	2023-01-04	4	2023-01-01	3120.0	REFORMA			20231	1	0	0.0	0.0		6			PAGO
1	14	14	69	2023-01-04	2023-03-01	3120.0	2023-01-04	4	2023-01-01	3120.0	REFORMA			20231	1	0	0.0	0.0		6			PAGO
1	14	14	69	2023-01-04	2023-03-01	3120.0	2023-01-04	4	2023-01-01	3120.0	REFORMA			20231	1	0	0.0	0.0		6			PAGO
1	14	14	69	2023-01-04	2023-03-01	3120.0	2023-01-04	4	2023-01-01	3120.0	REFORMA			20231	1	0	0.0	0.0		6			PAGO
1	14	14	69	2023-01-04	2023-03-01	3120.0	2023-01-04	4	2023-01-01	3120.0	REFORMA			20231	1	0	0.0	0.0		6			PAGO
1	14	14	69	2023-01-04	2023-03-01	3120.0	2023-01-04	4	2023-01-01	3120.0	REFORMA			20231	1	0	0.0	0.0		6			PAGO
1	14	14	69	2023-01-04	2023-03-01	3120.0	2023-01-04	4	2023-01-01	3120.0	REFORMA			20231	1	0	0.0	0.0		6			PAGO
1	14	14	69	2023-01-04	2023-03-01	3120.0	2023-01-04	4	2023-01-01	3120.0	REFORMA			20231	1	0	0.0	0.0		6			PAGO
1	15	15	69	2023-01-09	2023-03-01	4310.0	2023-01-09	4	2023-01-01	4310.0	REFORMA			2023 02	1	0	0.0	0.0		1			PAGO
1	16	16	69	2023-01-16	2023-03-01	2940.0	2023-01-16	4	2023-01-01	2940.0	REFORMA			3	1	0	0.0	0.0		4			PAGO
1	16	16	69	2023-01-16	2023-03-01	2940.0	2023-01-16	4	2023-01-01	2940.0	REFORMA			3	1	0	0.0	0.0		4			PAGO
1	17	17	69	2023-06-09	2023-03-01	3080.0	2023-06-09	4	2023-06-01	3080.0	Serviços de manutencao e reforma			20-2023	1	0	0.0	0.0		7			PAGO
1	18	18	69	2023-01-24	2023-03-01	2500.0	2023-01-24	4	2023-01-01	2500.0	REFORMA DE APARTAMENTO DO HOSPITAL			4	1	0	0.0	0.0		2			PAGO
1	19	19	69	2023-02-01	2023-03-01	3360.0	2023-02-01	4	2023-02-01	3360.0	Reforma de apartamento do hospital			5	1	0	0.0	0.0		3			PAGO
1	20	20	69	2023-02-07	2023-03-01	3495.0	2023-02-07	4	2023-02-01	3495.0	Reforma de apartamento do hospital				1	0	0.0	0.0		3			PAGO
1	21	21	69	2023-02-14	2023-03-01	4135.0	2023-02-14	4	2023-02-01	4135.0	Reforma de apartamento do hospital			7	1	0	0.0	0.0		5			PAGO
1	22	22	69	2023-02-22	2023-03-01	3000.0	2023-02-22	4	2023-02-01	3000.0	Reforma de apartamento do hospital			8	1	0	0.0	0.0		7			PAGO
1	23	23	69	2023-02-28	2023-03-01	1470.0	2023-02-28	4	2023-03-01	1470.0	Serviços de manutencao e reforma			9	1	0	0.0	0.0		5			PAGO
1	24	24	69	2023-03-09	2023-03-01	2000.0	2023-03-09	4	2023-03-01	2000.0	Serviços de manutencao e reforma			20230012	1	0	0.0	0.0		8			PAGO
1	25	25	69	2023-04-06	2023-03-01	2380.0	2023-04-06	4	2023-04-01	2380.0	REFORMA DE APARTAMENTO DO HOSPITAL			202300013	1	0	0.0	0.0		3			PAGO
1	26	26	69	2023-05-11	2023-03-01	1760.0	2023-05-11	4	2023-05-01	1760.0	Serviços de manutencao e reforma			23017	1	0	0.0	0.0		2			PAGO
1	27	27	69	2023-06-09	2023-03-01	680.0	2023-06-09	4	2023-06-01	680.0	Serviços de manutencao e reforma			20-2023	1	0	0.0	0.0		3			PAGO
1	28	28	73	2023-01-05	2023-03-01	2370.0	2023-01-05	5	2023-01-01	2370.0	Contrato de manutenção de ar condicionado			20232	1	0	0.0	0.0		8			PAGO
1	29	29	73	2023-02-06	2023-03-01	2370.0	2023-02-06	5	2023-02-01	2370.0	Contrato de manutenção de ar condicionado			20232	1	0	0.0	0.0		1			PAGO
1	30	30	73	2023-03-05	2023-03-01	2370.0	2023-03-05	5	2023-03-01	2370.0	Contrato de manutenção de ar condicionado			20232	1	0	0.0	0.0		5			PAGO
1	31	31	73	2023-03-14	2023-03-01	2279.0	2023-03-14	5	2023-03-01	2279.0	Contrato de manutenção de ar condicionado			12	1	0	0.0	0.0		8			PAGO
1	32	32	73	2023-03-28	2023-03-01	2278.0	2023-03-28	5	2023-03-01	2278.0	Contrato de manutenção de ar condicionado			12	1	0	0.0	0.0		4			PAGO
