	sk_unidade	pk_lancamento	cd_lancamento	sk_conta_financeira	dt_vencimento	dt_mes_referencia	vl_total_nf	dt_venc_parcela	sk_fornecedor	dt_realizacao	vl_realizacao	ds_observacao	dt_emissao_nf_doc	dt_inclusao	cd_nf_doc	cd_parcela	vl_juros	vl_descontos	tp_lancamento	sk_normal_centro_custos	tp_forma_pgto	cd_documento	tp_situacao	cd_centro_custos	cd_conta_financeira	cd_fornecedor	ds_centro_custo	ds_conta_bancaria	ds_conta_financeira	ds_fornecedor	ds_normal_centro_custos	ds_normal_conta_financeira	ds_unidade	sk_normal_conta_financeira	vl_parcela	cd_agencia	cd_conta_bancaria	dt_saldo_inicial	vl_saldo_inicial	sk_conta_bancaria
0	1	6	6	47	2023-04-28	2023-03-01	15.0	2023-04-28	1	2023-04-01	15.0	Materiais Descartaveis Cozinha			18185	0	0.0	0.0		8			PAGO	18	47.0	1	FARMÁCIA	GERAL	MATERIAL DESCARTAVEL (CONSUMO DE MATERIAIS GERAIS)	FORNECEDOR 444	Farmacia	CONSUMO DE MATERIAIS GERAIS	D	11.0	15.0	123.0	78956.0	2023-01-01	2238863.82	1.0
1	1	7	7	71	2023-03-10	2023-03-01	36.53	2023-03-10	2	2023-03-01	36.53	Material de manutencao predial			136874	0	0.0	0.0		7			PAGO	17	71.0	2	TECNOLOGIA DA INFORMAÇÃO	GERAL	PECAS E MATERIAIS DE MANUTENCAO - PREDIAL (MANUTENCAO E ASSISTENCIA TECNICA)	FORNECEDOR 183	Tecnologia Informacao	MANUTENCAO E ASSISTENCIA TECNICA	D	14.0	36.53	123.0	78956.0	2023-01-01	2238863.82	1.0
2	1	8	8	71	2023-03-27	2023-03-01	328.58	2023-03-27	2	2023-03-01	328.58	Material de manutencao predial			137186	0	0.0	0.0		3			PAGO	3	71.0	2	CONSULTÓRIOS	GERAL	PECAS E MATERIAIS DE MANUTENCAO - PREDIAL (MANUTENCAO E ASSISTENCIA TECNICA)	FORNECEDOR 183	Ambulatorio	MANUTENCAO E ASSISTENCIA TECNICA	D	14.0	328.58	123.0	78956.0	2023-01-01	2238863.82	1.0
3	1	9	9	71	2023-04-24	2023-03-01	328.58	2023-04-24	2	2023-04-01	328.58	Material de manutencao predial			137186	0	0.0	0.0		5			PAGO	6	71.0	2	TERAPIA INTENSIVA	GERAL	PECAS E MATERIAIS DE MANUTENCAO - PREDIAL (MANUTENCAO E ASSISTENCIA TECNICA)	FORNECEDOR 183	UTI	MANUTENCAO E ASSISTENCIA TECNICA	D	14.0	328.58	123.0	78956.0	2023-01-01	2238863.82	1.0
4	1	10	10	71	2023-05-22	2023-03-01	328.58	2023-05-22	2	2023-05-01	328.58	Fechadura			137186	0	0.0	0.0		3			PAGO	3	71.0	2	CONSULTÓRIOS	GERAL	PECAS E MATERIAIS DE MANUTENCAO - PREDIAL (MANUTENCAO E ASSISTENCIA TECNICA)	FORNECEDOR 183	Ambulatorio	MANUTENCAO E ASSISTENCIA TECNICA	D	14.0	328.58	123.0	78956.0	2023-01-01	2238863.82	1.0
5	1	11	11	71	2023-06-19	2023-03-01	328.56	2023-06-19	2	2023-06-01	328.56	Material de manutencao predial			137186	0	0.0	0.0		3			PAGO	3	71.0	2	CONSULTÓRIOS	GERAL	PECAS E MATERIAIS DE MANUTENCAO - PREDIAL (MANUTENCAO E ASSISTENCIA TECNICA)	FORNECEDOR 183	Ambulatorio	MANUTENCAO E ASSISTENCIA TECNICA	D	14.0	328.56	123.0	78956.0	2023-01-01	2238863.82	1.0
6	1	12	12	71	2023-05-22	2023-03-01	120.9	2023-05-22	2	2023-05-01	120.9	Fechadura			138556	0	0.0	0.0		1			PAGO	1	71.0	2	PRONTO SOCORRO	GERAL	PECAS E MATERIAIS DE MANUTENCAO - PREDIAL (MANUTENCAO E ASSISTENCIA TECNICA)	FORNECEDOR 183	Pronto Atendimento	MANUTENCAO E ASSISTENCIA TECNICA	D	14.0	120.9	123.0	78956.0	2023-01-01	2238863.82	1.0
7	1	13	13	54	2023-04-21	2023-03-01	280.04	2023-04-21	3	2023-04-01	280.04	Material de limpeza e higiene			2680	0	0.0	0.0		3			PAGO	3	54.0	3	CONSULTÓRIOS	GERAL	MATERIAL HIGIENIZACAO (CONSUMO DE MATERIAIS GERAIS)	FORNECEDOR 416	Ambulatorio	CONSUMO DE MATERIAIS GERAIS	D	11.0	280.04	123.0	78956.0	2023-01-01	2238863.82	1.0
8	1	14	14	69	2023-01-04	2023-03-01	3120.0	2023-01-04	4	2023-01-01	3120.0	REFORMA			20231	0	0.0	0.0		6			PAGO	7	69.0	4	FATURAMENTO	GERAL	SERV.OBRAS E REFORMAS (MANUTENCAO E ASSISTENCIA TECNICA)	FORNECEDOR 27	Geral	MANUTENCAO E ASSISTENCIA TECNICA	D	14.0	3120.0	123.0	78956.0	2023-01-01	2238863.82	1.0
9	1	14	14	69	2023-01-04	2023-03-01	3120.0	2023-01-04	4	2023-01-01	3120.0	REFORMA			20231	0	0.0	0.0		6			PAGO	8	69.0	4	FINANCEIRO	GERAL	SERV.OBRAS E REFORMAS (MANUTENCAO E ASSISTENCIA TECNICA)	FORNECEDOR 27	Geral	MANUTENCAO E ASSISTENCIA TECNICA	D	14.0	3120.0	123.0	78956.0	2023-01-01	2238863.82	1.0
10	1	14	14	69	2023-01-04	2023-03-01	3120.0	2023-01-04	4	2023-01-01	3120.0	REFORMA			20231	0	0.0	0.0		6			PAGO	9	69.0	4	LAVANDERIA	GERAL	SERV.OBRAS E REFORMAS (MANUTENCAO E ASSISTENCIA TECNICA)	FORNECEDOR 27	Geral	MANUTENCAO E ASSISTENCIA TECNICA	D	14.0	3120.0	123.0	78956.0	2023-01-01	2238863.82	1.0
11	1	14	14	69	2023-01-04	2023-03-01	3120.0	2023-01-04	4	2023-01-01	3120.0	REFORMA			20231	0	0.0	0.0		6			PAGO	10	69.0	4	HIGIENIZAÇÃO E LIMPEZA	GERAL	SERV.OBRAS E REFORMAS (MANUTENCAO E ASSISTENCIA TECNICA)	FORNECEDOR 27	Geral	MANUTENCAO E ASSISTENCIA TECNICA	D	14.0	3120.0	123.0	78956.0	2023-01-01	2238863.82	1.0
12	1	14	14	69	2023-01-04	2023-03-01	3120.0	2023-01-04	4	2023-01-01	3120.0	REFORMA			20231	0	0.0	0.0		6			PAGO	11	69.0	4	GERÊNCIA DE HOTELARIA	GERAL	SERV.OBRAS E REFORMAS (MANUTENCAO E ASSISTENCIA TECNICA)	FORNECEDOR 27	Geral	MANUTENCAO E ASSISTENCIA TECNICA	D	14.0	3120.0	123.0	78956.0	2023-01-01	2238863.82	1.0
13	1	14	14	69	2023-01-04	2023-03-01	3120.0	2023-01-04	4	2023-01-01	3120.0	REFORMA			20231	0	0.0	0.0		6			PAGO	12	69.0	4	ADMINISTRAÇÃO	GERAL	SERV.OBRAS E REFORMAS (MANUTENCAO E ASSISTENCIA TECNICA)	FORNECEDOR 27	Geral	MANUTENCAO E ASSISTENCIA TECNICA	D	14.0	3120.0	123.0	78956.0	2023-01-01	2238863.82	1.0
14	1	14	14	69	2023-01-04	2023-03-01	3120.0	2023-01-04	4	2023-01-01	3120.0	REFORMA			20231	0	0.0	0.0		6			PAGO	13	69.0	4	RECEPÇÃO CENTRAL	GERAL	SERV.OBRAS E REFORMAS (MANUTENCAO E ASSISTENCIA TECNICA)	FORNECEDOR 27	Geral	MANUTENCAO E ASSISTENCIA TECNICA	D	14.0	3120.0	123.0	78956.0	2023-01-01	2238863.82	1.0
15	1	14	14	69	2023-01-04	2023-03-01	3120.0	2023-01-04	4	2023-01-01	3120.0	REFORMA			20231	0	0.0	0.0		6			PAGO	14	69.0	4	CCIH	GERAL	SERV.OBRAS E REFORMAS (MANUTENCAO E ASSISTENCIA TECNICA)	FORNECEDOR 27	Geral	MANUTENCAO E ASSISTENCIA TECNICA	D	14.0	3120.0	123.0	78956.0	2023-01-01	2238863.82	1.0
16	1	14	14	69	2023-01-04	2023-03-01	3120.0	2023-01-04	4	2023-01-01	3120.0	REFORMA			20231	0	0.0	0.0		6			PAGO	15	69.0	4	DIRETORIA TÉCNICA	GERAL	SERV.OBRAS E REFORMAS (MANUTENCAO E ASSISTENCIA TECNICA)	FORNECEDOR 27	Geral	MANUTENCAO E ASSISTENCIA TECNICA	D	14.0	3120.0	123.0	78956.0	2023-01-01	2238863.82	1.0
17	1	14	14	69	2023-01-04	2023-03-01	3120.0	2023-01-04	4	2023-01-01	3120.0	REFORMA			20231	0	0.0	0.0		6			PAGO	16	69.0	4	SAME/ARQUIVOS MÉDICOS	GERAL	SERV.OBRAS E REFORMAS (MANUTENCAO E ASSISTENCIA TECNICA)	FORNECEDOR 27	Geral	MANUTENCAO E ASSISTENCIA TECNICA	D	14.0	3120.0	123.0	78956.0	2023-01-01	2238863.82	1.0
18	1	15	15	69	2023-01-09	2023-03-01	4310.0	2023-01-09	4	2023-01-01	4310.0	REFORMA			2023 02	0	0.0	0.0		1			PAGO	1	69.0	4	PRONTO SOCORRO	GERAL	SERV.OBRAS E REFORMAS (MANUTENCAO E ASSISTENCIA TECNICA)	FORNECEDOR 27	Pronto Atendimento	MANUTENCAO E ASSISTENCIA TECNICA	D	14.0	4310.0	123.0	78956.0	2023-01-01	2238863.82	1.0
19	1	16	16	69	2023-01-16	2023-03-01	2940.0	2023-01-16	4	2023-01-01	2940.0	REFORMA			3	0	0.0	0.0		4			PAGO	4	69.0	4	UI POSTO 1	GERAL	SERV.OBRAS E REFORMAS (MANUTENCAO E ASSISTENCIA TECNICA)	FORNECEDOR 27	UI	MANUTENCAO E ASSISTENCIA TECNICA	D	14.0	2940.0	123.0	78956.0	2023-01-01	2238863.82	1.0
20	1	16	16	69	2023-01-16	2023-03-01	2940.0	2023-01-16	4	2023-01-01	2940.0	REFORMA			3	0	0.0	0.0		4			PAGO	5	69.0	4	UI POSTO 2	GERAL	SERV.OBRAS E REFORMAS (MANUTENCAO E ASSISTENCIA TECNICA)	FORNECEDOR 27	UI	MANUTENCAO E ASSISTENCIA TECNICA	D	14.0	2940.0	123.0	78956.0	2023-01-01	2238863.82	1.0
21	1	17	17	69	2023-06-09	2023-03-01	3080.0	2023-06-09	4	2023-06-01	3080.0	Serviços de manutencao e reforma			20-2023	0	0.0	0.0		7			PAGO	17	69.0	4	TECNOLOGIA DA INFORMAÇÃO	GERAL	SERV.OBRAS E REFORMAS (MANUTENCAO E ASSISTENCIA TECNICA)	FORNECEDOR 27	Tecnologia Informacao	MANUTENCAO E ASSISTENCIA TECNICA	D	14.0	3080.0	123.0	78956.0	2023-01-01	2238863.82	1.0
22	1	18	18	69	2023-01-24	2023-03-01	2500.0	2023-01-24	4	2023-01-01	2500.0	REFORMA DE APARTAMENTO DO HOSPITAL			4	0	0.0	0.0		2			PAGO	2	69.0	4	CENTRO CIRÚRGICO	GERAL	SERV.OBRAS E REFORMAS (MANUTENCAO E ASSISTENCIA TECNICA)	FORNECEDOR 27	Centro Cirurgico	MANUTENCAO E ASSISTENCIA TECNICA	D	14.0	2500.0	123.0	78956.0	2023-01-01	2238863.82	1.0
23	1	19	19	69	2023-02-01	2023-03-01	3360.0	2023-02-01	4	2023-02-01	3360.0	Reforma de apartamento do hospital			5	0	0.0	0.0		3			PAGO	3	69.0	4	CONSULTÓRIOS	GERAL	SERV.OBRAS E REFORMAS (MANUTENCAO E ASSISTENCIA TECNICA)	FORNECEDOR 27	Ambulatorio	MANUTENCAO E ASSISTENCIA TECNICA	D	14.0	3360.0	123.0	78956.0	2023-01-01	2238863.82	1.0
